sample	experiment	well	batch	cell_number	concentration	tra1.60	individual.1	individual.2	individual.3	individual.4	fly	worm	ERCC	index
03172017-A01	03172017	A01	b1	1	2.093989827	TRUE	NA18502	NA18505	NA18852	NA19098	50000	50	Not added	1
03172017-A02	03172017	A02	b1	1	3.426044333	TRUE	NA18502	NA18505	NA18852	NA19098	50000	50	Not added	1
03172017-A03	03172017	A03	b1	1	1.108780149	TRUE	NA18502	NA18505	NA18852	NA19098	50000	50	Not added	1
03172017-A04	03172017	A04	b1	1	2.685818537	TRUE	NA18502	NA18505	NA18852	NA19098	50000	50	Not added	1
03172017-A05	03172017	A05	b1	1	1.354115239	TRUE	NA18502	NA18505	NA18852	NA19098	50000	50	Not added	1
03172017-A06	03172017	A06	b1	1	4.097995129	TRUE	NA18502	NA18505	NA18852	NA19098	50000	50	Not added	1
03172017-A07	03172017	A07	b1	1	3.265304027	TRUE	NA18502	NA18505	NA18852	NA19098	50000	50	Not added	1
03172017-A08	03172017	A08	b1	1	1.830856277	TRUE	NA18502	NA18505	NA18852	NA19098	50000	50	Not added	1
03172017-A09	03172017	A09	b1	1	3.035999936	TRUE	NA18502	NA18505	NA18852	NA19098	50000	50	Not added	1
03172017-A10	03172017	A10	b1	1	1.537429516	TRUE	NA18502	NA18505	NA18852	NA19098	50000	50	Not added	1
03172017-A11	03172017	A11	b1	1	3.374815405	TRUE	NA18502	NA18505	NA18852	NA19098	50000	50	Not added	1
03172017-A12	03172017	A12	b1	1	2.944025	TRUE	NA18502	NA18505	NA18852	NA19098	50000	50	Not added	1
03172017-B01	03172017	B01	b1	1	3.572870527	TRUE	NA18502	NA18505	NA18852	NA19098	50000	50	Not added	1
03172017-B02	03172017	B02	b1	1	3.536522936	TRUE	NA18502	NA18505	NA18852	NA19098	50000	50	Not added	1
03172017-B03	03172017	B03	b1	1	2.688922105	TRUE	NA18502	NA18505	NA18852	NA19098	50000	50	Not added	1
03172017-B04	03172017	B04	b1	1	2.572361142	TRUE	NA18502	NA18505	NA18852	NA19098	50000	50	Not added	1
03172017-B05	03172017	B05	b1	1	1.212621494	TRUE	NA18502	NA18505	NA18852	NA19098	50000	50	Not added	1
03172017-B06	03172017	B06	b1	1	1.48080026	TRUE	NA18502	NA18505	NA18852	NA19098	50000	50	Not added	1
03172017-B07	03172017	B07	b1	1	2.733210309	TRUE	NA18502	NA18505	NA18852	NA19098	50000	50	Not added	1
03172017-B08	03172017	B08	b1	1	2.269608838	TRUE	NA18502	NA18505	NA18852	NA19098	50000	50	Not added	1
03172017-B09	03172017	B09	b1	1	2.202085744	TRUE	NA18502	NA18505	NA18852	NA19098	50000	50	Not added	1
03172017-B10	03172017	B10	b1	1	2.311849762	TRUE	NA18502	NA18505	NA18852	NA19098	50000	50	Not added	1
03172017-B11	03172017	B11	b1	1	2.173270531	TRUE	NA18502	NA18505	NA18852	NA19098	50000	50	Not added	1
03172017-B12	03172017	B12	b1	1	2.306952219	TRUE	NA18502	NA18505	NA18852	NA19098	50000	50	Not added	1
03172017-C01	03172017	C01	b1	1	1.391673012	TRUE	NA18502	NA18505	NA18852	NA19098	50000	50	Not added	1
03172017-C02	03172017	C02	b1	1	3.288828487	TRUE	NA18502	NA18505	NA18852	NA19098	50000	50	Not added	1
